City,Date,Road,Cycle,Ratio,Total,Cycleway,NoVehicle1,NoVehicle2,Designated,Lane,LeftLane,RightLane
Leicester,2012-07-01T00:00:00Z,1046390.652,80877.852,0.07729221572,1046390.652,55521.455,923.252,0,18586.243,5740.065,106.837,0
Liverpool,2012-07-01T00:00:00Z,1733523.982,35085.56,0.0202394431,1733523.982,25457.058,41.333,0,261.152,9326.017,0,0
Cardiff,2012-07-01T00:00:00Z,1576585.187,33693.568,0.02137123213,1576585.187,18838.33,817.342,0,7776.688,5386.62,874.588,0
Birmingham,2012-07-01T00:00:00Z,3959076.342,128210.391,0.03238391481,3959076.342,111380.407,1599.271,166.046,7635.389,7429.278,0,0
London,2012-05-01T00:00:00Z,18457632.77,453469.182,0.02456811161,18457632.77,249342.559,17747.361,457.294,36663.121,147482.115,1213.347,563.385
Cambridge,2012-05-01T00:00:00Z,578705.322,55450.635,0.09581842933,578705.322,47720.908,302.553,0,11.708,6905.945,392.215,117.306
Leicester,2012-05-01T00:00:00Z,820023.338,45980.857,0.05607261997,820023.338,27868.208,481.939,0,12863.789,4766.921,0,0
Liverpool,2012-05-01T00:00:00Z,1666120.379,27572.177,0.01654873042,1666120.379,19510.578,37.232,0,261.152,7763.215,0,0
Cardiff,2012-05-01T00:00:00Z,1556300.011,33152.641,0.02130221729,1556300.011,18792.437,322.308,0,7776.688,5386.62,874.588,0
Birmingham,2012-05-01T00:00:00Z,3670881.182,109790.865,0.02990858586,3670881.182,95331.485,1466.166,155.749,7635.389,5202.076,0,0
London,2012-03-01T00:00:00Z,16718943.34,382493.039,0.02287782375,16718943.34,209915.305,14293.089,160.44,34626.129,122035.004,1003.871,459.201
Cambridge,2012-03-01T00:00:00Z,522225.43,43608.587,0.08350529196,522225.43,36304.005,302.553,0,0,6700.535,184.188,117.306
Leicester,2012-03-01T00:00:00Z,656305.684,31105.829,0.0473953369,656305.684,20747.719,0,0,8232.414,2125.696,0,0
Liverpool,2012-03-01T00:00:00Z,1458209.151,23767.012,0.01629876756,1458209.151,18247.845,37.232,0,0,5481.935,0,0
Cardiff,2012-03-01T00:00:00Z,1517766.786,31752.407,0.02092047823,1517766.786,17392.203,322.308,0,7776.688,5386.62,874.588,0
Birmingham,2012-03-01T00:00:00Z,3429964.121,100605.957,0.02933148962,3429964.121,90615.732,1466.166,155.749,3867.731,4500.579,0,0
London,2012-01-01T00:00:00Z,15657549.84,326491.251,0.02085200139,15657549.84,183208.229,11212.823,160.44,27961.282,102694.631,840.646,413.2
Cambridge,2012-01-01T00:00:00Z,431208.726,35792.048,0.08300399747,431208.726,29748.441,302.553,0,0,5439.56,184.188,117.306
Leicester,2012-01-01T00:00:00Z,633615.524,26188.967,0.04133258421,633615.524,15830.857,0,0,8232.414,2125.696,0,0
Liverpool,2012-01-01T00:00:00Z,1448787.525,23767.012,0.01640476025,1448787.525,18247.845,37.232,0,0,5481.935,0,0
Cardiff,2012-01-01T00:00:00Z,1396104.875,30592.334,0.02191263318,1396104.875,16977.638,322.308,0,7743.683,4674.117,874.588,0
Birmingham,2012-01-01T00:00:00Z,3139967.253,86400.306,0.02751630799,3139967.253,76978.915,1466.166,155.749,3533.577,4265.899,0,0
